date,hour,type,0,1,2,3,4,5,6,7,气温,露点,湿度,气压,风向,风速,values
2017052823,23,PM2.5,51.83333333333334,51.0,55.25,24.75,47.0,56.0,48.25,46.66666666666666,27,14,0.45,0,东南,7.2,46.0
201705290,0,PM2.5,51.5,47.8,55.5,35.25,48.5,49.5,43.0,41.333333333333336,27,11,0.37,0,东南偏东,10.8,48.0
201705291,1,PM2.5,40.833333333333336,44.8,44.75,34.25,44.75,43.0,36.25,38.66666666666666,26,12,0.42,0,不定,3.6,41.0
201705292,2,PM2.5,40.66666666666666,42.4,38.75,37.75,37.25,43.25,33.5,35.666666666666664,26,12,0.42,0,不定,3.6,40.0
201705293,3,PM2.5,40.0,37.6,45.0,37.0,39.75,44.5,30.5,32.666666666666664,25,15,0.54,1,北,14.4,39.0
201705294,4,PM2.5,44.16666666666666,40.8,40.75,39.25,39.75,38.0,35.5,31.66666666666667,23,16,0.65,0,东北,7.2,37.0
201705295,5,PM2.5,39.0,39.8,40.0,39.25,34.5,38.25,32.0,31.33333333333333,24,15,0.57,2,东北偏北,14.4,35.0
201705296,6,PM2.5,35.666666666666664,37.6,35.25,35.75,36.0,38.75,33.0,28.0,24,15,0.57,1,东,10.8,35.0
201705297,7,PM2.5,36.333333333333336,32.4,34.25,36.75,31.75,38.25,28.5,28.66666666666667,24,14,0.53,2,东南,7.2,33.0
201705298,8,PM2.5,30.0,37.2,24.25,32.0,25.75,34.5,31.0,32.0,25,14,0.5,2,西北偏北,10.8,33.0
201705299,9,PM2.5,26.33333333333333,31.2,24.5,27.75,26.5,27.25,17.5,18.33333333333333,23,13,0.53,3,东北,14.4,25.0
2017052910,10,PM2.5,23.33333333333333,31.6,19.75,24.25,23.5,25.5,15.25,17.666666666666668,24,13,0.5,3,东北,10.8,21.0
2017052911,11,PM2.5,23.16666666666667,25.6,21.75,29.0,26.0,19.0,13.75,13.0,23,12,0.5,3,东北偏北,10.8,20.0
2017052912,12,PM2.5,19.0,31.0,18.25,23.75,21.0,22.5,15.5,18.0,22,11,0.5,3,东,10.8,22.0
2017052913,13,PM2.5,17.833333333333332,22.2,17.666666666666668,22.0,13.75,15.5,15.75,20.0,22,12,0.53,2,东南偏东,7.2,15.0
2017052914,14,PM2.5,18.0,23.4,19.5,20.75,19.666666666666668,17.5,15.5,21.0,24,11,0.44,2,东南偏南,7.2,18.0
2017052915,15,PM2.5,20.33333333333333,23.2,23.0,24.75,22.33333333333333,17.75,19.25,19.5,23,12,0.5,1,东南偏南,10.8,22.0
2017052916,16,PM2.5,20.33333333333333,21.2,20.5,21.0,25.0,20.25,22.75,22.0,23,12,0.5,1,东南偏南,10.8,21.0
2017052917,17,PM2.5,21.0,23.6,21.5,22.25,29.75,22.0,21.0,24.0,23,11,0.47,1,东南偏南,7.2,21.0
2017052918,18,PM2.5,25.16666666666667,25.0,21.5,22.0,27.75,22.5,27.5,22.0,23,11,0.47,0,南,10.8,24.0
2017052919,19,PM2.5,23.0,25.0,26.0,23.25,28.75,23.75,28.75,24.66666666666667,23,11,0.47,1,南,10.8,23.0
2017052920,20,PM2.5,29.33333333333333,28.0,25.0,25.25,29.25,25.0,30.0,29.66666666666667,21,15,0.68,1,不定,3.6,27.0
2017052921,21,PM2.5,25.8,26.6,29.25,26.25,37.5,26.0,28.25,25.66666666666667,19,16,0.83,0,东北偏东,7.2,27.0
2017052922,22,PM2.5,30.66666666666667,34.0,33.0,26.25,27.5,26.0,30.25,31.0,19,16,0.83,1,东北偏北,3.6,30.0
2017052923,23,PM2.5,35.166666666666664,29.8,32.5,27.5,32.5,27.25,26.75,31.33333333333333,20,15,0.73,1,不定,3.6,28.0
